;Type;Score;;
Spenser Confidential;Movie;9;;
Uncorked;Movie;8;;
Home Game;TV Show;8;;
The Game;TV Show;8;;
His House;Movie;8;;
The Boss Baby: Get That Baby!;Movie;8;;
Yogi Bear;Movie;7;;
Magnetic;Movie;7;;
Django Unchained;Movie;7;;
100 Humans;TV Show;6;;
In the Dark;TV Show;6;;
The Main Event;Movie;6;;
Triple 9;Movie;6;;
La vita davanti a sé;Movie;6;;
El practicante;Movie;6;;
Transformers: War for Cybertron;TV Show;6;;
Queen of the South;TV Show;6;;
Midnight at the Magnolia;Movie;5;;
Game On! A Comedy Crossover Event;TV Show;5;;
The Willloughbys;Movie;5;;
Latte & the Magic Waterstone;Movie;5;;
Ancient Aliens;TV Show;4;;
Hop;Movie;4;;
60 Days In;TV Show;4;;
Julie and the Phantoms;TV Show;4;;
Hometown Holiday;Movie;4;;
If Anything Happens I Love You;Movie;4;;
Absurd Planet;TV Show;4;;
Anaconda;Movie;4;;
Hogar;Movie;3;;
The Hangover;Movie;3;;
Dream Home Makeover;TV Show;3;;
Rust Valley Restorers;TV Show;3;;
How to Get Away With Murder;TV Show;3;;
The Half of It;Movie;3;;
Christmas on the Square;Movie;3;;
Cooked With Cannabis;TV Show;3;;
The Players Club;Movie;3;;
Glow Up;TV Show;2;;
Puss in Boots;Movie;2;;
Double Jeopardy;Movie;2;;
One on One;TV Show;2;;
The Green Hornet;Movie;2;;
Salt;Movie;2;;
Dark;TV Show;2;;
Hannibal;TV Show;1;;
How to Train Your Dragon 2;Movie;1;;
On My Block;TV Show;1;;
The Office;TV Show;1;;
House at the End of the Street;Movie;1;;
Community;TV Show;1;;
